Car_Age,KM_Driven,Fuel_Type,Transmission,Mileage,Engine,Owner_Type,Selling_Price
7,37994,CNG,Automatic,20.17,1759,Third,11.84
15,151108,Petrol,Automatic,14.86,2326,Fourth & Above,1.38
11,102756,Petrol,Manual,24.9,2668,First,20.78
8,185488,CNG,Automatic,13.36,1172,Second,22.09
7,145659,Petrol,Automatic,13.8,2749,Second,17.36
19,100665,Electric,Manual,19.21,1044,Third,13.99
11,136717,CNG,Automatic,15.73,2640,Second,24.06
11,167002,Electric,Automatic,14.95,2476,Fourth & Above,3.88
4,86835,Diesel,Automatic,22.9,924,Fourth & Above,18.71
8,127232,Petrol,Automatic,23.02,1336,Second,4.08
3,166162,Diesel,Automatic,26.49,2719,Third,10.16
2,188214,Diesel,Manual,18.35,2435,Second,15.05
12,162547,Petrol,Manual,11.46,2225,Second,18.69
6,154960,CNG,Manual,15.47,2340,Third,1.09
2,48732,Petrol,Automatic,29.6,1330,Fourth & Above,7.25
1,51305,Diesel,Manual,21.93,1053,First,13.92
12,182109,Diesel,Automatic,24.19,2968,Second,13.79
12,14346,CNG,Automatic,10.15,1460,Fourth & Above,16.3
17,5587,Petrol,Automatic,20.36,2601,Second,8.29
10,17763,Diesel,Manual,10.75,1860,First,13.97
16,195237,Electric,Manual,21.38,2165,Third,5.55
15,74615,Diesel,Manual,28.42,1836,Fourth & Above,5.48
15,172188,Diesel,Automatic,29.37,2006,First,14.84
19,125987,CNG,Manual,20.81,2935,Second,17.45
12,96353,Electric,Automatic,19.16,2893,First,3.89
3,100648,Diesel,Manual,28.9,1942,Fourth & Above,3.95
5,30556,Diesel,Manual,23.47,2354,Third,14.57
19,64042,Electric,Automatic,11.3,2555,Second,7.48
7,23099,Petrol,Automatic,19.31,2765,Third,10.42
9,114089,Petrol,Manual,14.8,1544,Third,10.62
7,181168,Diesel,Manual,19.4,2429,First,5.29
18,149302,Diesel,Manual,19.11,1766,First,1.03
4,165081,Petrol,Automatic,21.64,1562,Fourth & Above,21.48
14,38866,CNG,Automatic,17.14,1593,Fourth & Above,18.16
18,110400,Electric,Manual,13.29,1543,Third,17.57
9,89246,Electric,Manual,20.07,1869,Fourth & Above,14.12
2,81975,CNG,Automatic,26.6,2331,Third,17.82
15,177927,CNG,Manual,23.28,1357,Second,23.46
7,86557,CNG,Automatic,16.77,2794,Third,16.98
12,142488,CNG,Automatic,28.71,1325,Fourth & Above,7.36
8,77516,CNG,Automatic,28.24,1639,Fourth & Above,14.69
15,191987,CNG,Automatic,14.19,802,Third,11.62
3,154130,Electric,Automatic,10.79,1851,First,14.35
14,176790,CNG,Automatic,24.83,2204,Third,13.42
17,37602,Petrol,Manual,26.55,956,Third,21.61
4,194139,CNG,Automatic,29.36,2737,First,16.64
18,163588,CNG,Automatic,27.8,2754,Second,5.53
8,134295,Electric,Manual,22.01,1310,First,2.51
4,92969,Electric,Automatic,20.6,1486,Fourth & Above,11.18
2,137161,CNG,Manual,10.56,1937,First,1.37
